ROLE|TDTYPE
TECHNICAL|NOT APPLICABLE
MANAGEMENT|NOT APPLICABLE
TECHNICAL|DESIGN DEBT
TECHNICAL|REQUIREMENTS DEBT
MANAGEMENT|TEST DEBT
TECHNICAL|SERVIDE DEBT
TECHNICAL|INFRASTRUCTURE DEBT
TECHNICAL|DESIGN DEBT
MANAGEMENT|PROCESS DEBT
MANAGEMENT|REQUIREMENTS DEBT
TECHNICAL|PEOPLE DEBT
ARCHITECT|DESIGN DEBT
TECHNICAL|PEOPLE DEBT
TECHNICAL|CODE DEBT
MANAGEMENT|DOCUMENTATION DEBT
ARCHITECT|INFRASTRUCTURE DEBT
TECHNICAL|TEST DEBT
MANAGEMENT|DESIGN DEBT
TECHNICAL|TEST DEBT
MANAGEMENT|DESIGN DEBT
TECHNICAL|NOT APPLICABLE
ARCHITECT|CODE DEBT
TECHNICAL|NOT APPLICABLE
TECHNICAL|DESIGN DEBT
MANAGEMENT|CODE DEBT
TECHNICAL|DOCUMENTATION DEBT
ARCHITECT|CODE DEBT
TECHNICAL|TEST DEBT
MANAGEMENT|DESIGN DEBT
MANAGEMENT|SERVIDE DEBT
TECHNICAL|DESIGN DEBT
ARCHITECT|DESIGN DEBT
MANAGEMENT|REQUIREMENTS DEBT
TECHNICAL|TEST DEBT
MANAGEMENT|NOT APPLICABLE
ARCHITECT|CODE DEBT
TECHNICAL|REQUIREMENTS DEBT
TECHNICAL|REQUIREMENTS DEBT
ARCHITECT|ARCHITECTURE DEBT
ARCHITECT|TEST DEBT
TECHNICAL|DESIGN DEBT
ARCHITECT|INFRASTRUCTURE DEBT
TECHNICAL|CODE DEBT
MANAGEMENT|ARCHITECTURE DEBT
MANAGEMENT|DESIGN DEBT
TECHNICAL|TEST DEBT
ARCHITECT|PROCESS DEBT
TECHNICAL|CODE DEBT
TECHNICAL|TEST DEBT
ARCHITECT|DESIGN DEBT
TECHNICAL|REQUIREMENT DEBT
TECHNICAL|TEST DEBT
TECHNICAL|PROCESS DEBT
ARCHITECT|TEST DEBT
TECHNICAL|CODE DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|TEST DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|ARCHITECTURE DEBT
TECHNICAL|TEST DEBT
TECHNICAL|ARCHITECTURE DEBT
ARCHITECT|TEST DEBT
ARCHITECT|DESIGN DEBT
TECHNICAL|PROCESS DEBT
TECHNICAL|TEST DEBT
TECHNICAL|CODE DEBT
ARCHITECT|DESIGN DEBT
MANAGEMENT|DOCUMENTATION DEBT
TECHNICAL|DESIGN DEBT
MANAGEMENT|REQUIREMENT DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|CODE DEBT
MANAGEMENT|CODE DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|TEST DEBT
TECHNICAL|TEST DEBT
MANAGEMENT|REQUIREMENT DEBT
ARCHITECT|CODE DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|CODE DEBT
MANAGEMENT|TEST DEBT
ARCHITECT|DESIGN DEBT
MANAGEMENT|DESIGN DEBT
MANAGEMENT|TEST DEBT
TECHNICAL|TEST DEBT
ARCHITECT|REQUIREMENT DEBT
TECHNICAL|REQUIREMENT DEBT
TECHNICAL|CODE DEBT
MANAGEMENT|TEST DEBT
TECHNICAL|DESIGN DEBT
ARCHITECT|TEST DEBT
MANAGEMENT|CODE DEBT
ARCHITECT|CODE DEBT
MANAGEMENT|REQUIREMENT DEBT
TECHNICAL|CODE DEBT
ARCHITECT|INFRASTRUCTURE DEBT
TECHNICAL|CODE DEBT
TECHNICAL|REQUIREMENT DEBT
MANAGEMENT|TEST DEBT
TECHNICAL|DOCUMENTATION DEBT
TECHNICAL|DESIGN DEBT
MANAGEMENT|TEST DEBT
MANAGEMENT|TEST DEBT
MANAGEMENT|TEST DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|TEST DEBT
TECHNICAL|TEST DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|CODE DEBT
ARCHITECT|REQUIREMENT DEBT
ARCHITECT|REQUIREMENT DEBT
ARCHITECT|TEST DEBT
ARCHITECT|DOCUMENTATION DEBT
TECHNICAL|REQUIREMENT DEBT
ARCHITECT|CODE DEBT
ARCHITECT|CODE DEBT
ARCHITECT|TEST DEBT
TECHNICAL|TEST DEBT
TECHNICAL|DOCUMENTATION DEBT
TECHNICAL|PROCESS DEBT
ARCHITECT|TEST DEBT
TECHNICAL|DESIGN DEBT
MANAGEMENT|CODE DEBT
ARCHITECT|REQUIREMENT DEBT
ARCHITECT|TEST DEBT
MANAGEMENT|DESIGN DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|REQUIREMENT DEBT
TECHNICAL|VERSIONING DEBT
ARCHITECT|DESIGN DEBT
MANAGEMENT|DOCUMENTATION DEBT
ARCHITECT|ARCHITECTURE DEBT
MANAGEMENT|DOCUMENTATION DEBT
MANAGEMENT|REQUIREMENT DEBT
MANAGEMENT|CODE DEBT
MANAGEMENT|CODE DEBT
TECHNICAL|CODE DEBT
MANAGEMENT|CODE DEBT
TECHNICAL|TEST DEBT
MANAGEMENT|PROCESS DEBT
TECHNICAL|REQUIREMENT DEBT
TECHNICAL|INFRASTRUCTURE DEBT
TECHNICAL|DESIGN DEBT
MANAGEMENT|TEST DEBT
ARCHITECT|TEST DEBT
TECHNICAL|REQUIREMENT DEBT
TECHNICAL|TEST DEBT
TECHNICAL|DESIGN DEBT
MANAGEMENT|DESIGN DEBT
MANAGEMENT|DESIGN DEBT
TECHNICAL|CODE DEBT
TECHNICAL|CODE DEBT
